Name,Link,Publisher,Score /5,Summary,created time,year,만들고 참여한 사람,상태,종류
이세린가이드,,,,,2024년 10월 18일 오후 2:56,2024,,진행중,Graphic Book
나를 소모하지 않는 현명한 태도에 관하여,,,⭐️⭐️⭐️⭐️⭐️,,2024년 11월 6일 오전 1:18,2024,마티아스 뇔케,진행중,Book
친구의 부름,,,⭐️⭐️⭐️⭐️,"죄의식, 죄책감, 러브크래프트",2024년 11월 6일 오후 11:54,2024,최재훈,완주,Graphic Book
강특고 아이들,,,,,2024년 11월 20일 오후 3:27,2024,,완주,Graphic Book
멜로가 체질,,,,,2024년 12월 20일 오전 10:01,2024,,진행중,TV Series
들개,,,,애니메이션 적임. 사실 이야기는 좀 평범함,2024년 12월 20일 오후 1:51,2024,조원희,완주,
"매일, 휴일",,,,"매일을 휴일같이. 주인공의 느긋함이 좋아라. ",2024년 12월 20일 오후 1:52,2024,,진행중,
관타나모 키드,,,,"관타나모 수용소 최연소 수감자 무함마드 엘 고라니 실화 오디세이. 미국의 타 종교 배척과 이슬람혐오, 인종 차별로 인한 폭력, 가혹행위, 정치가 어떻게 사람들의 삶을 망가뜨리는지. 그러나 그 안에서 어떻게 사람들은 웃음과 신념을 잃지 않고 살 수 있었는지 이런 측면에서 종교와 신앙심이 어떤 역할을 하는지. ",2024년 12월 20일 오후 1:52,2024,,완주,
꽃은 거기에 놓아두시면 돼요,,,⭐️⭐️⭐️⭐️⭐️,"요양병원의 이야기. 어떤 이야기를 가지고 가는지. 사람들의 환상을 인정하고 - 결국 그 환상에 동조되는 주인공 ",2024년 12월 20일 오후 1:55,2024,캉탱 쥐티옹,완주,
모든 공주는 자정 이후에 죽는다,,,,같은 시간대에 사랑(남자)를 상실한 세 공주와 잃어버린 다이애나 공주,2024년 12월 20일 오후 9:05,2024,캉탱 쥐티옹,완주,
천공의 라퓨타,,,,,2025년 1월 13일 오전 1:53,2024,미야자키 하야오,완주,
아르티스트,,,⭐️⭐️⭐️⭐️,,2025년 1월 31일 오전 2:28,2025,,진행중,Graphic Book
세팅더테이블,,,⭐️⭐️⭐️⭐️⭐️,,2025년 1월 31일 오전 2:30,"2024, 2025",,진행중,Book
센티멘털 무반응,,,⭐️⭐️⭐️,,2025년 2월 28일 오후 11:52,2025,,완주,Graphic Book
점과 선과 새,,,⭐️⭐️⭐️⭐️,,2025년 2월 28일 오후 11:52,2025,,완주,Graphic Book
풀 나이트,,,⭐️⭐️⭐️,,2025년 2월 28일 오후 11:52,2025,,진행중,Graphic Book
워킹데드,,,⭐️⭐️⭐️⭐️,,2025년 2월 28일 오후 11:53,2025,,진행중,Graphic Book
꼬마 곰의 케이크 가게,,,⭐️⭐️⭐️⭐️⭐️,,2025년 2월 28일 오후 11:53,2025,,완주,Graphic Book
푸른하늘 프리즘 솔라카,,,⭐️⭐️⭐️,,2025년 2월 28일 오후 11:53,2025,,완주,Graphic Book
여장남자와 살인자,,,⭐️⭐️⭐️,,2025년 2월 28일 오후 11:54,2025,,완주,Graphic Book
에데나의 세계,,,SUPERSUPER,,2025년 3월 16일 오전 2:00,2025,,완주,Graphic Book
너의 모든것,,,⭐️⭐️⭐️⭐️,,2025년 4월 2일 오후 7:32,2025,,진행중,TV Series
유리병 속의 나나니,,,⭐️⭐️⭐️,,2025년 5월 27일 오후 5:31,2025,,완주,Graphic Book
Amphigorey,,,SUPERSUPER,,2025년 5월 27일 오후 5:35,2025,,완주,Graphic Book
천국대마경,,,SUPERSUPER,,2025년 5월 27일 오후 5:36,2025,,진행중,Graphic Book
페르세폴리스,,,⭐️⭐️⭐️⭐️⭐️,,2025년 5월 27일 오후 5:37,2025,,완주,Graphic Book
북해의 별,,,SUPERSUPER,,2025년 5월 27일 오후 5:38,2025,,완주,Book
여름 안에서,,,⭐️⭐️⭐️⭐️⭐️,,2025년 5월 27일 오후 5:38,2025,,완주,Book
세키네씨의 사랑,,,⭐️⭐️⭐️⭐️,,2025년 5월 27일 오후 5:39,2025,,완주,Graphic Book
낫심플,,,⭐️⭐️⭐️⭐️,,2025년 5월 27일 오후 5:40,2025,,완주,Graphic Book
해피엔드,,,⭐️⭐️⭐️⭐️⭐️,,2025년 5월 27일 오후 5:42,2025,네오 소라,완주,Film
썩은도랑,,,,,2025년 7월 8일 오후 10:00,2025,이케베 아오이,완주,
있잖아 엄마,,,,,2025년 7월 8일 오후 10:00,2025,,,
All you need is kill,,,,,2025년 7월 14일 오후 3:42,2025,,,
백엔의 사랑,,,,,2025년 7월 14일 오후 3:48,2025,,,
모로호시 다이지로 단편극장,,,,,2025년 8월 7일 오전 1:22,2025,,,
북극백화점의 안내원,,,,,2025년 9월 2일 오후 11:11,2025,,,
진격의 거인,,,,,2025년 9월 2일 오후 11:11,2025,,,
고고몬스터,,,,,2025년 9월 2일 오후 11:12,2025,,,
모험 에레키테 섬,,,,,2025년 9월 2일 오후 11:12,2025,,,
돈 덴,,,,,2025년 9월 2일 오후 11:14,2025,,,
황천의 츠가이,,,,,2025년 9월 2일 오후 11:14,2025,,,
타코피의 원죄,,,,,2025년 9월 2일 오후 11:17,2025,,,
내 이야기!,,,,,2025년 10월 21일 오전 10:49,2025,,,
원 씽,,,,,2025년 10월 21일 오전 10:50,2025,,,
일하는 법을 제대로 배운적은 처음입니다,,,,,2025년 10월 21일 오전 10:50,2025,,,
언제나기억해,,,,,2025년 12월 9일 오전 2:37,2025,,,
주식회사천재패밀리,,,,,2025년 12월 9일 오전 2:37,2025,,,
배가본드,,,,,2026년 2월 15일 오후 10:44,2026,,진행중,
왕과 사는 남자,,,,,2026년 2월 15일 오후 10:44,2026,,완주,
클레이모어,,,,,2026년 2월 15일 오후 10:45,2026,,진행중,
달리기를 말할 때 내가 하고 싶은 이야기,,,,,2026년 3월 30일 오전 2:31,2026,,,
